"time","longitude","latitude","mag","Dampak"
"2022-03-12T06:19:56.957Z","105.774","-7.2179","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-03-12T05:31:11.226Z","106.0704","-7.3172","5.3","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2022-03-04T13:14:17.791Z","105.2812","-7.206","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-03-02T22:19:25.704Z","108.8825","-8.1222","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-03-01T15:12:27.163Z","107.6412","-8.3929","4.9","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-02-28T15:38:09.418Z","105.9484","-7.4239","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-02-24T02:35:01.543Z","105.4141","-8.5571","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-02-17T17:09:43.389Z","106.1237","-6.3943","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-02-04T10:10:46.682Z","105.9667","-7.2617","5.2","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2022-02-02T03:23:01.481Z","107.7884","-7.9885","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-02-01T18:22:46.656Z","112.2275","-8.1363","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-01-24T14:38:33.141Z","112.2682","-8.2897","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-01-19T01:39:42.170Z","105.6899","-7.5394","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-01-17T00:35:22.130Z","106.0807","-6.9094","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-01-17T00:25:57.521Z","105.8582","-7.5134","5","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2022-01-15T08:18:07.908Z","112.7995","-7.2777","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-01-15T02:29:40.234Z","105.2852","-6.8029","4.8","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-01-14T20:34:29.081Z","105.2305","-7.0285","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-01-14T09:49:20.820Z","105.2063","-7.0422","5.4","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2022-01-14T09:05:41.461Z","105.2887","-6.86","6.6","Mampu membuat kerusakan sampai area sejauh 160 km."
"2021-12-23T06:33:56.401Z","105.2869","-7.1983","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-12-22T01:50:44.418Z","105.5173","-8.3743","4.7","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-12-15T23:01:33.625Z","113.5508","-8.4912","4.8","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-12-03T21:38:00.117Z","112.9335","-6.1405","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-11-16T04:09:22.383Z","110.0055","-8.0204","4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-11-15T11:09:03.146Z","108.0175","-6.157","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-11-11T18:19:25.084Z","108.105","-6.6027","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-11-10T02:50:07.762Z","105.8256","-7.5917","5.1","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2021-11-09T08:01:03.138Z","106.7549","-8.3656","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-10-22T02:21:15.739Z","112.5513","-8.6515","4.9","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-10-20T18:53:17.448Z","106.4551","-7.9008","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-10-11T08:18:03.925Z","106.5036","-6.7986","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-09-18T23:38:49.706Z","106.6382","-7.398","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-09-14T09:14:38.122Z","105.7018","-6.8028","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-08-22T21:13:06.012Z","107.5458","-8.2075","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-08-19T20:07:40.037Z","106.803","-7.3957","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-08-17T04:49:17.892Z","107.5487","-8.2116","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-08-09T14:36:01.197Z","108.9836","-8.0634","4.8","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-08-02T00:48:36.124Z","109.3971","-7.5659","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-07-12T06:30:38.589Z","106.1859","-6.2175","4.7","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-06-27T22:15:28.772Z","110.6583","-8.3453","5.1","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2021-06-21T01:56:00.918Z","107.9828","-8.3866","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-06-21T01:01:37.919Z","108.5288","-8.2349","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-06-15T10:11:11.490Z","107.502","-6.5554","4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-06-07T17:28:50.367Z","112.4423","-8.3185","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-06-05T18:18:26.889Z","107.2005","-7.5554","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-05-24T21:36:30.114Z","106.4001","-7.1576","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-05-23T04:33:48.665Z","105.3509","-6.3991","4.7","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-05-23T03:52:33.998Z","105.487","-6.1451","4.7","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-05-23T03:50:49.612Z","105.525","-6.2692","5.2","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2021-05-23T03:48:11.936Z","105.3483","-6.3831","5.1","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2021-05-22T15:47:22.777Z","107.3605","-7.7873","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-05-21T12:09:22.756Z","112.332","-8.4206","5.8","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2021-05-07T19:07:06.767Z","106.866","-8.0426","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
